576,277,288,353,241,279,358,325,380,279,271,570,1037,301,297,375,269,471,313,258,285,347,620,590,631,253,545,289,373,435
267,298,404,274,265,223,928,318,437,602,314,318,605,277,496,360,339,321,275,263,954,437,278,448,385,275,563,278,276,469
434,235,364,347,307,353,190,329,248,305,262,411,386,225,356,368,315,323,311,301,383,255,490,248,277,257,336,323,359,281
864,345,308,278,588,303,601,908,306,215,289,367,301,411,359,262,298,270,358,566,185,506,284,435,290,689,312,512,384,281
278,275,310,446,282,285,728,278,271,449,411,348,280,278,451,180,278,305,282,277,277,276,210,301,470,289,258,277,451,555
276,264,1050,269,287,254,232,651,259,242,204,674,362,546,292,383,256,233,451,314,701,469,287,323,331,188,593,407,449,407
357,383,229,391,237,211,368,355,302,449,534,350,328,297,375,339,280,239,518,371,440,255,283,263,271,321,270,331,266,362
233,449,299,240,334,312,215,326,278,167,338,273,261,363,227,311,253,226,281,248,267,288,199,254,173,300,295,328,401,274
573,249,238,410,184,279,450,402,397,395,148,619,381,318,274,382,603,399,356,230,304,492,427,187,182,280,468,471,275,416
261,237,348,323,258,371,274,276,264,357,645,281,385,309,494,212,311,261,201,244,263,231,239,391,236,325,386,441,231,293
350,285,388,348,290,613,194,306,268,308,341,326,434,227,223,277,224,393,282,397,291,328,339,242,302,550,291,209,301,338
299,365,501,261,273,291,309,213,244,227,208,395,421,244,312,301,669,184,390,410,381,424,275,301,519,183,579,324,369,703
250,336,534,425,257,221,378,481,335,393,701,331,200,765,341,360,375,265,344,524,241,320,265,254,367,296,312,227,603,164
359,239,282,322,304,198,480,252,510,393,664,354,559,453,329,383,286,297,403,264,325,341,236,230,279,384,268,353,397,282
405,252,235,385,406,215,223,248,331,198,416,301,379,262,440,327,461,386,443,258,272,215,192,259,472,239,432,299,277,310
393,352,386,206,272,269,259,239,277,295,281,367,210,153,307,411,300,310,1394,222,480,416,336,225,447,551,306,348,324,223
393,330,488,548,349,216,351,383,387,456,264,212,230,665,222,242,489,346,267,269,350,247,165,193,464,210,237,247,731,408
236,462,348,333,472,206,433,214,543,266,250,296,292,258,489,334,242,262,298,420,576,230,363,494,204,272,300,184,368,148
303,278,384,392,216,369,350,260,462,463,285,324,309,340,159,321,333,318,365,215,303,210,276,245,313,199,249,285,292,729
218,407,376,256,332,354,508,242,326,191,217,208,486,194,208,283,186,262,208,272,337,343,181,204,254,338,348,303,420,369
456,379,220,278,419,212,218,264,455,221,301,271,346,235,285,425,267,231,384,383,258,213,377,369,254,259,256,264,447,255
261,224,299,460,477,248,407,524,358,198,236,239,284,398,187,328,255,366,306,308,284,461,301,358,335,251,318,205,209,461
358,277,280,809,365,281,361,412,363,274,212,339,312,297,480,237,241,303,294,328,295,310,445,268,252,253,315,410,408,293
248,312,204,246,292,313,324,256,400,195,223,341,403,263,391,224,405,390,288,314,410,341,344,248,243,280,274,215,328,261
237,268,389,359,252,401,313,259,327,524,420,370,241,403,292,340,342,308,242,356,362,304,277,454,260,438,245,305,327,359
270,253,388,511,249,465,253,470,568,323,435,645,350,251,646,350,310,285,325,324,499,164,347,225,318,256,241,248,339,359
392,316,417,228,397,254,302,392,223,243,414,367,233,293,579,345,195,224,427,496,261,458,407,203,382,374,312,230,379,315
267,436,231,252,280,240,375,394,289,256,257,361,337,280,381,257,245,360,362,279,186,432,480,362,231,134,513,294,262,223
277,316,257,465,440,284,328,260,377,372,135,295,289,354,401,250,448,235,347,276,261,449,172,314,493,542,330,193,454,579
237,381,537,258,457,326,333,283,247,329,298,393,208,208,279,806,274,300,355,455,301,230,297,367,228,297,374,493,207,543
482,261,334,363,220,311,381,190,284,240,495,428,240,466,475,258,433,181,411,519,545,269,304,305,303,368,249,327,321,279
198,670,230,479,266,363,287,268,542,243,378,638,423,286,373,324,262,270,602,296,329,297,341,476,323,439,188,231,237,446
758,296,252,446,394,275,162,142,333,244,515,222,179,557,440,255,283,237,190,245,465,224,323,429,311,321,190,317,495,353
271,259,323,329,518,357,235,207,302,369,302,368,380,296,212,241,528,321,279,195,315,314,229,216,213,280,477,296,271,288
260,255,244,650,218,335,288,451,262,244,443,314,262,308,205,433,306,277,174,308,255,463,224,286,200,485,178,267,245,163
258,333,452,331,348,258,548,334,287,359,557,270,440,304,295,277,361,484,318,281,330,415,387,376,293,344,315,517,375,341
296,254,191,250,358,261,404,769,238,379,225,273,248,173,231,504,199,362,332,288,440,690,385,279,245,273,288,336,218,208
281,244,273,505,363,434,299,383,184,377,266,293,341,204,245,251,399,448,354,375,189,289,291,460,323,370,228,697,230,392
414,284,246,198,234,243,515,311,324,299,382,218,427,332,303,219,336,576,277,213,246,218,279,401,235,307,320,404,274,265
486,233,446,262,278,202,262,493,287,466,547,335,287,317,234,292,470,416,274,445,429,397,490,441,266,397,258,702,246,236
403,528,294,306,243,282,191,418,175,405,328,214,252,489,475,315,245,240,285,411,175,186,308,232,205,319,142,132,342,183
261,195,665,196,367,268,367,232,202,443,401,277,229,255,654,206,253,240,364,522,210,466,217,257,278,241,232,253,216,319
214,405,284,270,444,373,336,284,248,222,446,340,590,260,392,269,357,451,238,446,298,425,651,228,274,378,330,349,323,222
275,359,229,622,338,303,224,241,315,392,494,338,358,348,271,359,397,331,431,309,435,649,458,220,363,217,371,484,375,509
