Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
44,412,1,17,13,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
30,266,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
40,208,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
39,257,1,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
39,275,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
61,251,1,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
16,386,1,21,13,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
52,239,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
46,279,2,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
84,336,2,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
59,432,1,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
33,227,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
33,208,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
56,215,2,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
102,300,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
1,374,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
44,177,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
28,204,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
41,174,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
8,200,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
27,174,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
57,229,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
61,416,4,30,37,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
20,139,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
75,411,1,8,14,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
50,203,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
95,213,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
56,162,4,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
73,247,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
96,391,4,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
73,103,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
36,170,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
82,238,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
50,258,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
37,138,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
56,244,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
66,449,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
85,182,4,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
49,153,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
102,215,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
150,249,3,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
118,286,3,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
98,313,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
94,153,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
105,171,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
78,260,9,10,12,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
60,183,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
82,206,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
59,383,5,35,26,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
